Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
110302,Shawn McDonald,FireFly,4Kc5Qat7obzrnr8wiD19fK,35,2014,alt-rock,0.575,0.736,0,-4.132,1,0.0329,0.00101,4.52e-06,0.165,0.347,159.979,212347,4
110554,Shawn McDonald,Hope Is Right Here,5Ipa7NHCIGiQYYrh8l0gZO,33,2014,alt-rock,0.563,0.807,11,-5.238,1,0.028,0.0012,8.19e-06,0.113,0.756,137.009,184360,4
114988,Lidell Townsell,Party People Jack Your Body - House Mix,66rw6NKXlNfoKH5As2CowZ,1,2014,chicago-house,0.871,0.297,1,-22.452,1,0.0609,0.185,0.86,0.117,0.406,120.247,442227,4
119695,Iggy Azalea,Fancy,3oiMJQAWVaxSubJ7b2VUtX,67,2014,dance,0.912,0.716,10,-4.141,0,0.0697,0.0904,0.0,0.0491,0.377,94.981,199938,4
119711,Iggy Azalea,Black Widow,7pNC5ZIKtwUK0ReSpM3P9f,64,2014,dance,0.743,0.72,11,-3.753,1,0.124,0.192,0.000386,0.109,0.519,163.99,209423,4
119815,Iggy Azalea,Work,3yx6eryOZgO54bt3B671cn,52,2014,dance,0.699,0.804,7,-4.898,1,0.144,0.0631,0.0,0.414,0.491,140.012,223197,4
119927,Iggy Azalea,Trouble,3MPZOtMvBoxAIRUkgux87d,43,2014,dance,0.96,0.699,7,-3.804,1,0.132,0.0948,0.0,0.0812,0.673,106.009,166317,4
119930,Iggy Azalea,Beg For It,7MQREx2p9bXdqm8WTGVkGI,43,2014,dance,0.807,0.747,10,-4.31,0,0.0471,0.229,0.000111,0.0884,0.4,93.009,178107,4
120173,Iggy Azalea,Fancy - GTA Remix,1YjIpPP6a8mu0UK9MLAsO5,38,2014,dance,0.73,0.846,0,-4.624,1,0.0357,0.000342,0.00386,0.0484,0.582,99.992,252307,4
120253,Iggy Azalea,Bounce,2Xww9T8qeCBliq3EYRkmlR,35,2014,dance,0.833,0.942,1,-4.257,1,0.294,0.022,0.000344,0.174,0.588,125.977,167200,4
120287,Iggy Azalea,Fuck Love,5lcqxNUw7TJE57tUedUHNR,34,2014,dance,0.832,0.951,1,-2.644,1,0.0707,0.00448,0.000119,0.328,0.576,112.005,159589,4
120336,Iggy Azalea,Fancy - Yellow Claw Remix,3E3pWLixkFdKw7Ylj1NFoc,32,2014,dance,0.746,0.875,2,-3.741,1,0.0406,0.00128,0.000243,0.325,0.339,99.991,216400,4
120352,Iggy Azalea,Heavy Crown,1FO03aL21QcvllpoCMN4kM,32,2014,dance,0.686,0.592,9,-4.781,1,0.0555,0.224,0.0,0.108,0.269,76.708,232602,4
131639,Sido,Strip für mich (feat. Kitty Kat),5wH1mDAPKBhgKhSJyljsrn,56,2014,german,0.534,0.61,6,-9.199,0,0.362,0.000328,1.53e-06,0.102,0.609,71.533,261213,4
131647,Sido,Augen auf,3nAJAotlLWvmSWHQ05D2ma,60,2014,german,0.887,0.529,10,-6.414,0,0.195,0.0893,0.0,0.248,0.79,80.002,230907,4
