Unnamed: 0,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
161534,Howie Day,Don't Dream Its Over - Live in Salt Lake City,2DOCEA5tUxExgcgsw1NsxB,28,2015,acoustic,0.441,0.849,1,-4.142,1,0.0335,0.00339,2.11e-05,0.661,0.297,80.535,285827,4
161709,Howie Day,Morning After,5QNINi7am1DIRfZQQ5Arcg,17,2015,acoustic,0.35,0.54,0,-10.417,1,0.0347,0.57,0.0,0.527,0.588,93.269,217067,4
161732,Howie Day,Collide - Live in Las Vegas,2dv05PenOkLfOlOS1h6CGi,19,2015,acoustic,0.428,0.811,10,-4.824,1,0.0356,0.0186,3.15e-06,0.944,0.152,93.416,331427,4
161764,Howie Day,Life-Sized,4TfCm86E9pT41dmO0Buc7E,18,2015,acoustic,0.514,0.624,5,-6.226,1,0.0261,0.167,5.28e-05,0.135,0.426,78.994,217413,4
161826,Howie Day,Secret,1IUgsC81beb1bFrSiDfILS,15,2015,acoustic,0.403,0.694,0,-8.771,1,0.0457,0.0403,4.67e-06,0.11,0.645,176.544,226067,4
161827,Howie Day,Favorite Song,18MA8nlywZzZFnVAClNrwZ,16,2015,acoustic,0.522,0.629,7,-7.813,1,0.0313,0.243,0.00477,0.127,0.305,148.814,188533,4
161839,Howie Day,Sorry so Sorry,4UJaGTqxuO3Am5H8mug6dE,14,2015,acoustic,0.329,0.664,5,-7.637,0,0.0391,0.000393,4.78e-05,0.116,0.695,78.965,274000,4
161852,Howie Day,Bunnies (Live in Nyc),5PCYK3qdl2SXtfKAZdCo4q,15,2015,acoustic,0.575,0.793,9,-7.316,0,0.0327,0.391,0.636,0.98,0.649,134.961,376480,4
161899,Howie Day,Treetops,44flrKcH3KFdz6cicLpS4x,14,2015,acoustic,0.365,0.733,9,-5.866,1,0.0483,0.159,0.00044,0.288,0.145,139.877,242187,4
161921,Howie Day,Disco,7Ch4nFrdMZJ1bOTTx70Fb1,11,2015,acoustic,0.415,0.529,6,-9.244,0,0.0275,0.604,0.00294,0.205,0.221,81.753,228840,4
162013,Howie Day,Medicine Ball,0rsELMlZcWTNbvb5wZjcvg,13,2015,acoustic,0.623,0.482,0,-6.804,1,0.0234,0.183,0.000588,0.112,0.301,103.042,191427,4
162015,Howie Day,Ghost - Live in Boston,7amuFjl62SjVVYH4LZ8J6Q,11,2015,acoustic,0.606,0.688,4,-6.273,1,0.0292,0.649,0.00919,0.871,0.356,150.624,343467,4
162016,Howie Day,Lanterns,5CmgC2sSuNrMm4xOxpk3oQ,12,2015,acoustic,0.502,0.585,11,-6.17,1,0.0254,0.00659,2.27e-05,0.129,0.248,138.017,229573,4
162018,Howie Day,Madrigals (Demo),7rnJAnd3xfyEqvsoILnmB5,11,2015,acoustic,0.597,0.66,4,-5.482,1,0.0294,0.236,0.000503,0.305,0.322,140.888,265333,3
162041,Howie Day,Kristina,7KqE4bM4rgGzBELArHKzQS,9,2015,acoustic,0.482,0.45,7,-10.178,1,0.0361,0.575,0.0,0.12,0.159,81.864,311707,4
162043,Howie Day,Harley,0YeJsRIoANAEGLVmHZTp9E,12,2015,acoustic,0.589,0.539,5,-7.408,1,0.0272,0.392,2.53e-05,0.0949,0.23,136.08,258680,4
162090,Howie Day,More You Understand,0rc6WaqBlNGBQI8ipu2azI,10,2015,acoustic,0.328,0.609,9,-9.334,0,0.0328,0.198,1.26e-05,0.145,0.342,182.649,292693,4
162130,Grupo Fantasma,Porque,3enEisYisNVLXOF8WFpHBM,26,2015,afrobeat,0.506,0.621,9,-7.496,1,0.0406,0.516,0.000428,0.0703,0.622,172.151,179185,4
162171,Romperayo,Alegria por un Zumo de Naranja Con Panela,3c3SlCmGqAULLHI3eGuHTK,24,2015,afrobeat,0.6,0.65,5,-16.989,1,0.0412,0.000416,0.795,0.178,0.868,131.078,213992,4
162224,Grupo Fantasma,Esa Negra,2peIrKddOIq007daEmcXdn,8,2015,afrobeat,0.757,0.926,5,-4.798,1,0.0478,0.24,7.83e-06,0.0441,0.962,110.537,214340,4
162238,Grupo Fantasma,Nada,0YEg9dirNnnIC5vvhnZ4VD,8,2015,afrobeat,0.468,0.876,11,-5.266,0,0.0605,0.471,0.000204,0.17,0.922,200.136,233857,4
